Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-12-26,Saltburn,2023,https://boxd.it/5oIyYN,4,,,2023-12-25
2023-12-27,Melancholia,2011,https://boxd.it/5phx7N,4.5,,,2023-12-26
2023-12-27,Star Wars,1977,https://boxd.it/5pmQDD,5,Yes,,2023-12-26
2023-12-29,Ricky Gervais: Armageddon,2023,https://boxd.it/5qryPZ,3.5,,,2023-12-28
2023-12-30,Nymphomaniac: Vol. II,2013,https://boxd.it/5r8dZZ,4,,,2023-12-29
2023-12-31,American Psycho,2000,https://boxd.it/5rsCop,5,Yes,,2023-12-30
2024-01-01,How to Have Sex,2023,https://boxd.it/5s3sUz,4,,,2023-12-31
2024-01-03,Reprise,2006,https://boxd.it/5tpEMZ,4,,,2024-01-02
2024-01-03,BLUE EYE SAMURAI,2023,https://boxd.it/5tBD8j,5,,,2024-01-02
2024-01-08,Dream Scenario,2023,https://boxd.it/5x0YuR,3,,"cinemateketoslo, trollieske, førpremiere",2024-01-07
2024-01-10,Burning,2018,https://boxd.it/5y7jzp,5,,,2024-01-09
2024-01-15,Antichrist,2009,https://boxd.it/5APgax,2,,,2024-01-14
2024-01-15,"A Girl, She Is 100%",1983,https://boxd.it/5AWiid,4,,,2024-01-14
2024-01-15,Attack on a Bakery,1982,https://boxd.it/5AXumt,3,,,2024-01-14
2024-01-16,Fallen Angels,1995,https://boxd.it/5Bt3Hj,4.5,Yes,,2024-01-15
2024-01-17,Poor Things,2023,https://boxd.it/5BY1BF,5,,vegaoslo,2024-01-16
2024-01-19,Decision to Leave,2022,https://boxd.it/5CWjY3,4,Yes,,2024-01-18
2024-01-23,The Match Factory Girl,1990,https://boxd.it/5F2gK3,5,,,2024-01-22
2024-01-30,Woman in the Dunes,1964,https://boxd.it/5IvGcB,5,,,2024-01-29
2024-02-02,I Hired a Contract Killer,1990,https://boxd.it/5JTtkz,4,,,2024-02-01
2024-02-03,The Man Without a Past,2002,https://boxd.it/5KbTzB,3.5,,,2024-02-02
2024-02-05,The Remarkable Life of Ibelin,2024,https://boxd.it/5Lo08v,,,"cinemateketoslo, trollieske, førpremiere",2024-02-04
2024-02-09,A Short Film About Killing,1988,https://boxd.it/5N12al,3.5,,,2024-02-08
2024-02-10,The Painter and the Thief,2020,https://boxd.it/5NmPYV,,,,2024-02-09
2024-02-12,Past Lives,2023,https://boxd.it/5OrWdh,4.5,,,2024-02-11
2024-02-16,The Handmaiden,2016,https://boxd.it/5Q6ohl,5,Yes,,2024-02-15
2024-02-20,The Scent of Green Papaya,1993,https://boxd.it/5S9Fh7,4,,,2024-02-19
2024-02-22,Monster,2023,https://boxd.it/5T11dn,5,,,2024-02-21
2024-02-23,Cape Fear,1991,https://boxd.it/5TrtZV,2,,,2024-02-22
2024-02-24,Into the Wild,2007,https://boxd.it/5TQKGL,,,,2024-02-23
2024-02-26,Return to Seoul,2022,https://boxd.it/5UONPL,3.5,,,2024-02-25
2024-03-01,Dune: Part Two,2024,https://boxd.it/5WCEkX,4.5,,"klingenbergoslo, 70mm",2024-02-29
2024-03-02,The Hidden Fortress,1958,https://boxd.it/5X1nnb,3.5,,dvd,2024-03-01
2024-03-03,The Making of 'Dune: Part One',2022,https://boxd.it/5Xm6WP,,,,2024-03-02
2024-03-03,Dune,2021,https://boxd.it/5Xwawr,5,Yes,,2024-03-02
2024-03-06,Casino Royale,2006,https://boxd.it/5Z6lD5,4,Yes,bluray,2024-03-05
2024-03-12,Praying for Armageddon,2023,https://boxd.it/61T2N7,,,,2024-03-11
2024-03-23,The Lobster,2015,https://boxd.it/66QsyB,5,Yes,,2024-03-22
2024-04-08,Being Ola,2023,https://boxd.it/6ejLZx,,,,2024-04-07
2024-04-08,Ripley,2024,https://boxd.it/6ershn,,,,2024-04-07
2024-04-17,Perfect Days,2023,https://boxd.it/6i5yXV,5,,,2024-04-16
2024-04-19,The Talented Mr. Ripley,1999,https://boxd.it/6iKdNd,4.5,,,2024-04-18
2024-04-26,Purple Noon,1960,https://boxd.it/6lteGP,4,,,2024-04-20
2024-04-21,The Great Mouse Detective,1986,https://boxd.it/6jNusV,,Yes,norskdub,2024-04-21
2024-04-24,Baby Reindeer,2024,https://boxd.it/6kOePP,,,,2024-04-23
2024-05-11,Midsommar,2019,https://boxd.it/6rSUkl,4.5,Yes,,2024-05-10
2024-05-19,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/6v1HwX,5,Yes,extended edition,2024-05-18
2024-05-21,The Lord of the Rings: The Two Towers,2002,https://boxd.it/6vTEXT,5,Yes,extended edition,2024-05-20
2024-05-23,The Lord of the Rings: The Return of the King,2003,https://boxd.it/6wDMX5,5,Yes,,2024-05-22
2024-05-27,The Beast,1975,https://boxd.it/6yiv9j,3,,,2024-05-26
2024-06-10,Her,2013,https://boxd.it/6E1yXL,4,Yes,,2024-06-09
